58003762_375665797513105409 x	RT @SPFoodCoop: After the (Garden Tour) party is the (@SPTapRoom-sponsored) after-party! Big thx to @foodsyoucaneat and @CultonHNIC http://?
58003762_375665469690494976 x	smuttynose vunderbar pilsner & stone levitation on draft now
58003762_374627404196888576 x	RT @Jim_McMenamin: 366 days during a leap year RT @SPTapRoom PS: did you know SPTR is open 365 days a year?
58003762_374617931344515072 x	PS: did you know SPTR is open 365 days a year?
58003762_374617663135571969 x	so long summer! weyerbacher imperial pumpkin on draft now...
58003762_374616873239072768 x	RT @NewboldBrew: Happy Labor Day! Open normal hours. Stone #EnjoyBy is available now! Only a couple left- buy low, sell high. #EnjoyBy #PHL
58003762_374275876357439488 x	new! lefthand sawtooth (nitro)/firestone walker double jack/lost abbey witches wit/unibroue ephemere
58003762_373919084473507840 x	weihenstephaner festbier & oskar blues dale's pale ale on draft now
58003762_373550663453900800 x	bell's oarsman on draft now
58003762_371329343584477184 x	RT @NewboldBrew: Free @EvilTwinBrewing tasting tonight, 5-7pm! One of our favorite breweries + @nice_marmots & @jtheaudiophile = guaranteed?
58003762_371028646854926336 x	RT @m_regan: Mixed seafood and penne pasta, fennel, olive, spicy tomato-lobster broth on special at @SPTapRoom http://t.co/ZFNjM7Z2P2
58003762_371025296134504448 x	RT @foodsyoucaneat: Hey guys, @m_regan's vegan wonton soup at @SPTapRoom is pretty dang good today!!! #soup #vegan http://t.co/dV79Y9sqRI
